E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_35_135.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_35_135.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_35_135.jpg, 0, 0, 0, 8.110826E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_35_244.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_35_244.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_35_244.jpg, 0, 0, 0, 7.983431E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_35_350.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_35_350.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_35_350.jpg, 0, 0, 0, 8.141638E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_35_452.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_35_452.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_35_452.jpg, 0, 0, 0, 7.819176E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_35_818.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_35_818.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_35_818.jpg, 0, 0, 0, 7.891766E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_35_930.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_35_930.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_35_930.jpg, 0, 0, 0, 7.7975E-05
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_36_036.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_36_036.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_36_036.jpg, 0, 0.3170805, 0, 0.2737091
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_36_144.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_36_144.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_36_144.jpg, -0.3168957, 0.6339762, 0, 1.020059
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_36_246.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_36_246.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_36_246.jpg, -0.5218113, 0.4290606, 0, 1.539537
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_36_349.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_36_349.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_36_349.jpg, -0.2128977, 0.120147, 0, 1.759062
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_36_467.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_36_467.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_36_467.jpg, 0, 0, 0, 1.741961
E:\colleage\ARL\persiption\data_set\IMG\center_2024_04_16_20_51_36_574.jpg, E:\colleage\ARL\persiption\data_set\IMG\left_2024_04_16_20_51_36_574.jpg, E:\colleage\ARL\persiption\data_set\IMG\right_2024_04_16_20_51_36_574.jpg, 0, 0.0595734, 0, 1.701196
